-64.76,2.14,25.13
-64.73,2.02,25.18
-65.08,1.77,24.85
-65.34,1.78,24.59
-65.45,2.1,24.45
-65.26,2.47,24.6
-65.3,2.88,24.51
-65.85,2.21,24.04
-65.69,2.3,24.18
-65.58,2.37,24.28
-65.61,2.34,24.26
-65.59,2.36,24.28
-65.55,2.44,24.32
-65.63,2.39,24.24
-65.68,2.33,24.19
-64.71,3.4,25.03
-64.27,3.38,25.47
-65.78,3.29,23.96
-64.02,3.22,25.75
-65.08,3.34,24.66
-65.86,3.18,23.91
-64.99,3.27,24.77
-65.42,3.33,24.32
-64.44,3.27,25.32
-65.36,3.25,24.4
-64.51,3.48,25.22
-64.29,3.27,25.48
-65.49,3.44,24.23
-64.76,3.26,25
-65.64,3.29,24.11
-63.48,3.31,26.28
-64.21,3.29,25.55
-65.92,3.14,23.85
-64.75,3.3,25
-64.26,3.34,25.49
-63.49,2.86,26.33
-65.65,3.09,24.13
-65.22,3.05,24.57
-65.6,3.07,24.18
-64.82,2.96,24.99
-65.71,2.76,24.12
-65.49,2.88,24.32
-65.29,2.84,24.52
-65.85,2.71,23.98
-65.61,2.74,24.21
-64.79,2.98,25.01
-65.52,2.88,24.29
-65.6,2.86,24.21
-65.14,2.93,24.66
-65.49,2.87,24.32
-65.48,2.76,24.34
-65.04,2.89,24.77
-65.69,2.89,24.12
-65.53,2.85,24.29
-65.2,2.88,24.61
-65.3,2.86,24.52
-65.58,2.75,24.24
-65.07,2.89,24.73
-65.41,2.88,24.4
-64.95,2.89,24.86
-64.45,2.95,25.35
-65.43,2.91,24.37
-64.68,2.94,25.12
-64.78,2.95,25.02
-65.55,2.87,24.26
-64.9,2.89,24.91
-65.54,2.92,24.26
-65.23,2.93,24.57
-65.01,2.91,24.79
,,
-65.16565217,2.873043478,24.6415942
