-41.57,-0.76,48.42
-41.49,-0.82,48.5
-41.49,-0.73,48.5
-41.38,-0.72,48.61
-41.25,-0.63,48.74
-41.58,-0.68,48.41
-41.42,-0.73,48.57
-41.47,-0.73,48.52
-41.67,-0.83,48.31
-41.54,-0.78,48.45
-41.5,-0.74,48.49
-41.25,-0.68,48.74
-41.5,-0.74,48.5
-41.48,-1.01,48.5
-40.78,0.27,49.22
-48.4,-2.13,41.52
-47.24,-1.71,42.71
-50.7,-1.69,39.25
-52.34,-0.92,37.65
-53.07,-1.73,36.87
-54.25,-1.82,35.69
-53.72,-1.6,36.23
-53.86,-1.83,36.08
-53.98,-1.91,35.95
-54.35,-2.12,35.57
-53.85,-1.88,36.09
-54.1,-1.83,35.84
-53.76,-1.65,36.19
-53.61,-1.68,36.34
-53.63,-1.94,36.3
-53.7,-1.71,36.25
-53.51,-1.94,36.42
-53.67,-1.83,36.27
-53.77,-1.78,36.17
-53.74,-1.6,36.21
-53.83,-1.73,36.12
-53.88,-1.82,36.06
-53.82,-1.71,36.13
-53.99,-1.5,35.97
-53.88,-1.68,36.07
-53.9,-1.94,36.03
-53.8,-1.79,36.14
-54.04,-2.0,35.88
-54.17,-1.74,35.77
-53.62,-2.14,36.3
-54.07,-1.9,35.87
-54.17,-1.65,35.78
-53.84,-1.66,36.1
-54.12,-1.73,35.83
-53.99,-2.01,35.94
-53.92,-1.68,36.03
-54.11,-2.02,35.81
-54.29,-2.16,35.63
-53.98,-1.82,35.96
-54.25,-2.1,35.67
-54.2,-2.15,35.71
-54.22,-1.93,35.71
-54.52,-1.87,35.42
-54.29,-2.0,35.63
-54.22,-2.08,35.7
-54.22,-1.91,35.71
-54.24,-1.99,35.69
-54.3,-2.01,35.63
-54.4,-2.05,35.53
-54.17,-1.97,35.76
-54.23,-1.94,35.7
-54.33,-1.96,35.6
-54.17,-2.04,35.75
-54.28,-1.85,35.66
-54.12,-2.11,35.8
-52.21,-2.22,37.71
-50.55,-2.31,39.36
-50.5,-1.88,39.44
-50.24,-2.49,39.65
-50.34,-2.59,39.54
-49.3,-1.66,40.65
-49.72,-0.87,40.26
-49.39,-1.62,40.56
-49.31,-2.01,40.62
-49.88,-1.87,40.05
-49.34,-1.63,40.61
-52.39,-2.7,37.48
-52.07,-2.19,37.84
-49.88,-1.14,40.09
-49.9,-1.06,40.08
-50.3,-1.5,39.66
-49.76,-1.02,40.22
-49.22,-1.28,40.75
-49.29,-1.46,40.67
-48.97,-1.11,41.0
-49.56,-0.81,40.43
-49.42,-1.15,40.55
-49.01,-0.66,40.98
